Folder Name,Size (bytes),Size (GB),Number of Pictures,Number of Other Files,Number of Subfolders
1900,0,0.0,0,0,0
1903-1974,22732402,0.02,32,2,1
1975-1981,8375030,0.01,15,0,3
1982,7017232,0.01,4,1,1
1983-1988,1507763,0.0,3,1,0
1989,7089723,0.01,15,1,0
1993,339300,0.0,1,0,0
1996,1035429,0.0,4,0,1
1997,7447139,0.01,16,2,3
1998,15696264,0.01,41,0,5
1999,17491038,0.02,42,0,7
2000,53342206,0.05,217,0,41
2001,8919550,0.01,71,2,4
2002,528341337,0.49,1018,0,20
2003,35140529,0.03,65,0,5
2004,2006630854,1.87,2104,21,53
2005,2093744963,1.95,1788,12,29
2006,6147352664,5.73,4988,13,62
2007,3831012013,3.57,3187,13,67
2008,8516560504,7.93,8742,52,92
2009,13863869836,12.91,7769,45,94
2010,12729875658,11.86,8276,39,86
2011,9557075562,8.9,3762,13,47
2012,12086923416,11.26,3898,15,60
2013,26118455328,24.32,6762,32,114
2014,8605134470,8.01,2220,21,37
2015,10876626123,10.13,4245,72,56
2016,7683433115,7.16,3593,75,92
2017,11535116126,10.74,3072,50,73
2018,1940781379,1.81,1104,5,28
2019,6555349369,6.11,1541,10,28
2020,1643150429,1.53,456,373,25
2021,24567996,0.02,16,1,6
2022,97820246,0.09,20,17,6
2023,512893362,0.48,41,1,2
2024,3886311904,3.62,1120,94,32
2025,9640750005,8.98,977,271,20
archive,227354,0.0,0,7,0
collections,6789710027,6.32,2170,407,162
